year,Infrastructure,Human capital
2025,0.0,0.0
2026,-0.061,0.516
2027,0.438,0.215
2028,0.893,0.05
2029,1.31,-0.001
2030,1.691,0.042
2031,2.039,0.158
2032,2.355,0.331
2033,2.642,0.547
2034,2.902,0.796
2035,3.137,1.068
2036,3.349,1.355
2037,3.54,1.651
2038,3.713,1.95
2039,3.867,2.249
2040,4.006,2.542
2041,4.131,2.829
2042,4.243,3.108
2043,4.343,3.375
2044,4.433,3.631
2045,4.514,3.875
2046,4.586,4.106
2047,4.65,4.323
2048,4.708,4.528
2049,4.759,4.721
2050,4.806,4.9
