year,Infrastructure,Human capital
2025,0.0,0.0
2026,-0.056,0.709
2027,0.34,0.275
2028,0.703,0.044
2029,1.038,-0.018
2030,1.345,0.054
2031,1.626,0.231
2032,1.882,0.49
2033,2.115,0.809
2034,2.327,1.173
2035,2.519,1.568
2036,2.693,1.983
2037,2.849,2.409
2038,2.991,2.839
2039,3.118,3.267
2040,3.233,3.688
2041,3.336,4.098
2042,3.429,4.495
2043,3.512,4.877
2044,3.587,5.242
2045,3.654,5.589
2046,3.714,5.918
2047,3.768,6.228
2048,3.816,6.52
2049,3.859,6.793
2050,3.898,7.049
