year,Infrastructure,Human capital
2025,0.0,0.0
2026,-0.113,0.857
2027,0.354,0.52
2028,0.843,0.306
2029,1.352,0.207
2030,1.876,0.206
2031,2.412,0.289
2032,2.956,0.446
2033,3.506,0.663
2034,4.059,0.933
2035,4.614,1.246
2036,5.168,1.594
2037,5.722,1.972
2038,6.273,2.374
2039,6.822,2.795
2040,7.367,3.232
2041,7.909,3.679
2042,8.447,4.135
2043,8.982,4.597
2044,9.515,5.063
2045,10.045,5.53
2046,10.574,5.997
2047,11.105,6.462
2048,11.639,6.924
2049,12.18,7.383
2050,12.732,7.836
