year,Infrastructure,Human capital
2025,0.0,0.0
2026,-0.052,0.341
2027,-0.084,0.305
2028,-0.05,0.256
2029,0.042,0.208
2030,0.185,0.164
2031,0.373,0.131
2032,0.601,0.115
2033,0.864,0.116
2034,1.157,0.137
2035,1.477,0.178
2036,1.819,0.239
2037,2.182,0.321
2038,2.56,0.424
2039,2.955,0.546
2040,3.361,0.69
2041,3.778,0.85
2042,4.204,1.027
2043,4.639,1.222
2044,5.082,1.432
2045,5.531,1.655
2046,5.988,1.891
2047,6.455,2.139
2048,6.931,2.396
2049,7.421,2.662
2050,7.926,2.936
