instrument,closure_horizon,calibrated_gap,higher_initial_gap
Infrastructure investment,by 2050,8.156,9.589
Infrastructure investment,by 2040,10.796,12.614
Human capital investment,by 2050,3.192,3.72
Human capital investment,by 2040,5.142,5.957
